Department,Course Number,Max Enrollment,Preliminary Enrollment
ACC,211,120,114
ACC,212,120,78
ACC,308,31,31
ACC,310,40,27
ACC,311,30,25
ACC,408,35,6
ACC,413,20,7
ACC,415,30,2
ACC,431,25,14
ACC,440,15,4
ACC,490,30,3
ACC,495,3,3
ACC,513,30,3
ACC,515,25,6
ACC,540,20,7
ACC,590,10,2
ACC,595,1,1
ACC,602,38,19
ACC,603,30,5
ACC,613,1,1
AES,100,0,0
AES,103,75,74
AES,104,80,78
AES,105,70,70
AES,110,70,68
AES,212,28,27
AES,301,25,14
AES,303,45,23
AES,305,35,33
AES,313,28,10
AES,352,28,8
AES,370,30,6
AES,407,20,20
AES,408,20,18
AES,415,18,8
AES,461,0,0
AES,471,15,9
AES,472,16,10
AES,490,16,6
AES,497,15,4
AES,498,25,17
AES,499,2,2
AES,507,10,3
AES,508,8,3
AES,515,1,1
AES,561,20,13
AES,571,10,6
AES,572,12,6
AES,603,28,1
AES,610,16,6
AES,624,16,2
AES,670,0,0
AES,671,16,13
AES,690,16,12
AES,699,3,3
AES,780,15,6
AES,781,15,10
AES,782,20,7
AES,799,2,2
AHS,300,50,9
ARH,100,35,35
ARH,101,35,33
ARH,103,35,35
ARH,303,14,14
ARH,309,20,20
ARH,320,14,8
ARH,400,1,1
ARS,123,18,14
ARS,140,18,17
ARS,160,20,19
ARS,210,18,18
ARS,220,20,20
ARS,230,20,19
ARS,240,18,15
ARS,250,20,14
ARS,260,18,0
ARS,270,18,18
ARS,280,18,18
ARS,311,20,20
ARS,325,17,19
ARS,327,17,20
ARS,328,13,17
ARS,330,14,11
ARS,332,20,19
ARS,333,14,14
ARS,334,14,13
ARS,348,8,12
ARS,353,10,10
ARS,355,14,9
ARS,375,10,9
ARS,376,10,4
ARS,383,10,5
ARS,385,1,0
ARS,390,5,6
ARS,395,4,5
ARS,425,17,17
ARS,426,2,3
ARS,430,6,6
ARS,432,18,7
ARS,433,6,3
ARS,434,6,6
ARS,448,1,0
ARS,453,10,2
ARS,455,6,0
ARS,460,16,12
ARS,475,6,0
ARS,476,6,3
ARS,490,6,1
ARS,492,1,2
ARS,494,15,19
ARS,495,1,3
AST,100,66,40
AST,107,66,37
AST,371,66,39
BLS,211,60,51
BLS,406,20,6
BLS,506,20,9
BSE,601,5,1
BSE,620,5,1
BSE,621,5,0
BSE,702,3,0
BSE,703,3,1
BSE,780,10,7
BSE,799,0,0
BUS,300,30,30
BYS,109,65,65
BYS,119,140,103
BYS,120,168,50
BYS,121,24,22
BYS,122,24,12
BYS,205,15,14
BYS,214,72,35
BYS,215,114,39
BYS,216,114,57
BYS,219,60,36
BYS,221,20,14
BYS,230,0,0
BYS,300,74,68
BYS,301,18,15
BYS,311,66,27
BYS,314,44,44
BYS,320,90,48
BYS,321,44,27
BYS,348,24,1
BYS,361,30,26
BYS,362,10,10
BYS,363,12,8
BYS,364,30,29
BYS,365,7,3
BYS,410,6,3
BYS,420,0,0
BYS,430,22,22
BYS,432,10,8
BYS,433,30,15
BYS,461,18,16
BYS,466,0,0
BYS,467,20,19
BYS,490,25,9
BYS,491,20,12
BYS,492,2,2
BYS,519,20,7
BYS,548,15,4
BYS,561,10,6
BYS,566,0,0
BYS,567,20,1
BYS,601,20,2
BYS,610,2,1
BYS,630,4,3
BYS,690,20,4
BYS,691,20,9
BYS,692,2,1
BYS,699,2,1
CE,211,18,18
CE,271,25,7
CE,272,10,7
CE,321,50,38
CE,370,10,2
CE,372,25,14
CE,373,15,2
CE,375,2,0
CE,380,40,22
CE,420,20,17
CE,441,44,34
CE,452,5,6
CE,456,16,5
CE,483,45,34
CE,485,35,33
CE,487,15,11
CE,499,35,33
CE,520,5,2
CE,556,5,0
CE,583,5,0
CE,585,5,1
CE,587,5,2
CE,611,8,2
CE,659,5,3
CE,799,3,2
CFC,305,15,4
CFC,325,15,3
CFC,335,15,5
CFC,451,15,4
CH,101,100,29
CH,105,100,43
CH,121,80,67
CH,123,99,42
CH,125,22,22
CH,126,22,21
CH,151,100,23
CH,155,100,25
CH,191,0,0
CH,192,0,0
CH,193,0,0
CH,201,60,22
CH,205,60,21
CH,223,50,42
CH,224,15,15
CH,301,27,4
CH,331,70,40
CH,332,116,37
CH,335,14,9
CH,336,14,5
CH,337,5,1
CH,342,10,5
CH,346,0,0
CH,348,16,8
CH,351,66,17
CH,361,28,13
CH,362,10,4
CH,363,12,6
CH,364,12,4
CH,402,16,13
CH,440,40,12
CH,480,1,1
CH,491,5,1
CH,492,1,0
CH,493,10,1
CH,500,2,1
CH,521,18,6
CH,522,6,6
CH,562,15,3
CH,602,15,4
CH,631,10,4
CH,646,0,0
CH,648,15,3
CH,649,20,4
CH,699,0,1
CH,705,1,1
CH,735,10,2
CH,780,45,6
CH,799,1,1
