department,course_number,max_enrollment,preliminary_enrollment
MGT,450,48,41
MTS,799,5,0
ARS,160,20,20
EE,799,3,3
BYS,691,10,0
CE,375,2,2
EE,316,20,0
MTS,699,5,0
EH,410,10,8
MUX,396,100,0
BYS,492,2,2
SSC,224,40,0
MA,172,45,18
MKT,565,10,1
ISE,623,40,17
NUS,799,10,1
MA,238,45,43
CE,456,16,5
CE,583,5,0
MAE,343,45,44
BSE,703,3,0
HY,103,40,39
ARS,330,14,11
CPE,324,15,15
PH,452,35,15
BSE,601,5,1
ISE,580,25,7
HY,221,40,31
MUA,165,5,0
EGR,105,100,1
MU,208,10,6
PSC,102,35,26
MUX,590,60,1
CS,413,52,52
CS,490,50,19
MUA,498,5,2
PH,116,150,0
CH,125,22,20
MTS,602,13,8
NUS,776,10,3
MA,112,45,38
MAE,672,10,5
BYS,692,3,2
ARH,103,35,35
CH,735,10,2
NUS,783,40,3
EH,102,23,23
