room_id,max_capacity
BAB-123,110
BAB-224,90
BEV-280,100
ENG-122,130
ENG-123,110
ENG-134,60
ENG-135,40
ENG-207,70
ENG-239,130
ENG-240,90
MOR-005,130
MOR-007,120
MOR-101,80
MOR-125,110
MOR-126,60
MOR-127,60
MOR-286,50
MOR-288,50
MOR-293,140
MSB-104,90
MSB-106,50
MSB-112,120
NUR-103B,140
OKT-N227,150
OKT-N263,70
OKT-N306,100
OKT-N324,120
OKT-N326,100
OKT-N327,130
OPB-234,60
ROB-100,30
ROB-212,90
ROB-328,30
SST-020A,120
SST-105,130
SST-107,150
SST-109,90
SST-121,80
SST-205,60
SST-218,140
SST-228,30
SST-230,90
SST-253,120
SST-257,30
WIL-237,80
WIL-238,100
WIL-330,90
